Dataset	Sample.ID	Sample.Name	Label	R1	R2	md5sum.R1	md5sum.R2	Summary.File	Read.Length	X	X.1
HumanAndMouseOptimization_NovaSeq_20171205	MH-24	N2a T12_As_B	N2A_As_T12B	Blencowe_11_MH-24_S11_R1_001.fastq.gz	Blencowe_11_MH-24_S11_R2_001.fastq.gz	6c0ae343b38b31b25f1d935dcc92afa9	a1c10a55ad6da08399889f31b1323c32	Blencowe_11_MH-24_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	MH-25	N2a T12_As_C	N2A_As_T12C	Blencowe_12_MH-25_S12_R1_001.fastq.gz	Blencowe_12_MH-25_S12_R2_001.fastq.gz	fead844ac88dee164147232e960797e7	5002b8dbfde040a29614b30c1664e9c9	Blencowe_12_MH-25_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	MH-14	CGR8 T12_Lb_A	CGR8_Lb_T12A	Blencowe_13_MH-14_S13_R1_001.fastq.gz	Blencowe_13_MH-14_S13_R2_001.fastq.gz	2b3de4728a591e019de1f39f4205bef1	162f5c691948551fb819957131d13b7b	Blencowe_13_MH-14_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	MH-15	CGR8 T12_Lb_B	CGR8_Lb_T12B	Blencowe_14_MH-15_S14_R1_001.fastq.gz	Blencowe_14_MH-15_S14_R2_001.fastq.gz	2db6d6051af214e0ff8d2bfa5c819385	ac8b139972608253c4c46454af5d9388	Blencowe_14_MH-15_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	MH-16	CGR8 T12_Lb_C	CGR8_Lb_T12C	Blencowe_15_MH-16_S15_R1_001.fastq.gz	Blencowe_15_MH-16_S15_R2_001.fastq.gz	82528cce476c648a6d150ff611875f91	a323c78e69bff54ce1e1a0c44f3ddb30	Blencowe_15_MH-16_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	MH-20	CGR8 T12_As_A	CGR8_As_T12A	Blencowe_16_MH-20_S16_R1_001.fastq.gz	Blencowe_16_MH-20_S16_R2_001.fastq.gz	8b9a5178ea287fa7bb85c93bf75ea2c8	0e62ee6bdb7f711ac654391ccd36eeed	Blencowe_16_MH-20_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	MH-21	CGR8 T12_As_B	CGR8_As_T12B	Blencowe_17_MH-21_S17_R1_001.fastq.gz	Blencowe_17_MH-21_S17_R2_001.fastq.gz	82a643f7bee27ff8f0a8f2122a1bae22	f0274b4f95b010e23507ab3383a29301	Blencowe_17_MH-21_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	MH-22	CGR8 T12_As_C	CGR8_As_T12C	Blencowe_18_MH-22_S18_R1_001.fastq.gz	Blencowe_18_MH-22_S18_R2_001.fastq.gz	d22389844ba159e5d07e5f566b3b5205	832a2e674e3f575099ae453b8376549b	Blencowe_18_MH-22_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	MH-32	CGR8 T18_As_A	CGR8_As_T18A	Blencowe_19_MH-32_S19_R1_001.fastq.gz	Blencowe_19_MH-32_S19_R2_001.fastq.gz	3dccf30f71b8f1d4a7a705a99168456a	bb4ebe3acb0a372ee729e7e7d93059e5	Blencowe_19_MH-32_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	MH-33	CGR8 T18_As_B	CGR8_As_T18B	Blencowe_20_MH-33_S20_R1_001.fastq.gz	Blencowe_20_MH-33_S20_R2_001.fastq.gz	09eddf39c6f97d4d5a3d243d14311667	94965ad6a67c06eaf34cfa668d32f071	Blencowe_20_MH-33_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	MH-34	CGR8 T18_As_C	CGR8_As_T18C	Blencowe_21_MH-34_S21_R1_001.fastq.gz	Blencowe_21_MH-34_S21_R2_001.fastq.gz	454cfbb667951d99e9d53ff7e62dd8bc	2364ca01bc7417fe81a59d66a9692995	Blencowe_21_MH-34_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	MH-53	Mouse Library Lb	Mouse_Lb_Plasmid	Blencowe_22_MH-53-new_S22_R1_001.fastq.gz	Blencowe_22_MH-53-new_S22_R2_001.fastq.gz	b89376c95f00ef15c3c4e3a25490d4cf	294faa30db5fadda4350bc9d62176406	Blencowe_22_MH-53-new_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	MH-28	CGR8 Lb 18 C	CGR8_Lb_T18C	Blencowe_23_MH-28_S23_R1_001.fastq.gz	Blencowe_23_MH-28_S23_R2_001.fastq.gz	b97de652bd0f6371551629f349577d1e	59eb0d19d80dce1452ea74058df2f52f	Blencowe_23_MH-28_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	MH-30	N2A Lb 18 B	N2A_Lb_T18B	Blencowe_24_MH-30_S24_R1_001.fastq.gz	Blencowe_24_MH-30_S24_R2_001.fastq.gz	7f7350ea26c775918d17e766a59a1834	a34650adc809e41a6659e2667c9d1524	Blencowe_24_MH-30_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	MH-37	N2A As 18 C	N2A_As_T18C	Blencowe_25_MH-37_S25_R1_001.fastq.gz	Blencowe_25_MH-37_S25_R2_001.fastq.gz	fdee28a0124947cd3049c9beebf747d4	b9e50c0fc6d0ae53306763f34e1c0584	Blencowe_25_MH-37_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	MH-57	N2A Lb 18 A	N2A_Lb_T18A	Blencowe_26_MH-57_S26_R1_001.fastq.gz	Blencowe_26_MH-57_S26_R2_001.fastq.gz	d0fd893dc31468befa54a44129a57395	e80277fb09ae2b883bdff99d2e233138	Blencowe_26_MH-57_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	MH-58	N2A Lb 18 C	N2A_Lb_T18C	Blencowe_27_MH-58_S27_R1_001.fastq.gz	Blencowe_27_MH-58_S27_R2_001.fastq.gz	b328980e71ab5b70dfef800233daeb20	0a659513befb3274e94b6aaa3c3152fb	Blencowe_27_MH-58_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	MH- 59	CGR8 As T0	CGR8_As_T0	Blencowe_28_MH-59_S28_R1_001.fastq.gz	Blencowe_28_MH-59_S28_R2_001.fastq.gz	ad01c7aabf73c241313873699f85f3a5	5ce47030403677c5f7382d49225254c5	Blencowe_28_MH-59_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	MH-60	Mouse Library As	Mouse_As_Plasmid	Blencowe_29_MH-60_S29_R1_001.fastq.gz	Blencowe_29_MH-60_S29_R2_001.fastq.gz	479c78aed8049f5681a89a7ed7f3622e	88f6010292e5d9091400a7731ed4efa6	Blencowe_29_MH-60_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	MH-55	Mouse Library 1	Mouse_Ligation1	Blencowe_30_MH-55_S30_R1_001.fastq.gz	Blencowe_30_MH-55_S30_R2_001.fastq.gz	0651cbd1cf402c09efde2b29735e6324	15a69a816ce3f328670b44dac2794fd3	Blencowe_30_MH-55_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	MH-38	N2a T6_As_A	N2A_As_T6A	Blencowe_31_MH-38_S31_R1_001.fastq.gz	Blencowe_31_MH-38_S31_R2_001.fastq.gz	b874e7f89dd1bf13d8e81c8f46d34230	a98f0ea81d7dd059c6f038b78a6ede31	Blencowe_31_MH-38_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	MH-39	N2a T6_As_B	N2A_As_T6B	Blencowe_32_MH-39_S32_R1_001.fastq.gz	Blencowe_32_MH-39_S32_R2_001.fastq.gz	c391467d0d0c1ee1abd86d492f47c740	5f5b5c2cf152bd758f29694c64c627e5	Blencowe_32_MH-39_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	MH-40	N2a T6_As_C	N2A_As_T6C	Blencowe_33_MH-40_S33_R1_001.fastq.gz	Blencowe_33_MH-40_S33_R2_001.fastq.gz	f14396e594373eb5d1a34c1d426720e2	d8b0e9d5516df2d6b4d7a33649105827	Blencowe_33_MH-40_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	HH-44	Hap1 Lb Thym C	HAP1_Lb_Thym_C	Blencowe_34_HH-44_S34_R1_001.fastq.gz	Blencowe_34_HH-44_S34_R2_001.fastq.gz	413d78ea13b17405a98d3592e6a5192e	ed4daa17374870deb515eece577e3be7	Blencowe_34_HH-44_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	HH-1	Human Plasmid Library Lb	Human_Lb_Plasmid	Moffat_1_HH-1_S1_R1_001.fastq.gz	Moffat_1_HH-1_S1_R2_001.fastq.gz	294508eef6907ac2ff5022bd48c56266	561c1fc4ae2ae66adafaee8bcb754efc	Moffat_1_HH-1_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	HH-2	Human Plasmid Library As	Human_As_Plasmid	Moffat_2_HH-2_S2_R1_001.fastq.gz	Moffat_2_HH-2_S2_R2_001.fastq.gz	716da5fc6ba087caaca7f57f631b1931	65e1c0b2a77623046a41bdf59cf31071	Moffat_2_HH-2_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	HH-3	Hap1 Lb T0	HAP1_Lb_T0	Moffat_3_HH-3_S3_R1_001.fastq.gz	Moffat_3_HH-3_S3_R2_001.fastq.gz	4249f3a9d592aee91179d2604f25b98c	685678b03c3ad8508f003fcb4726ae66	Moffat_3_HH-3_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	HH-4	Hap1 As T0	HAP1_As_T0	Moffat_4_HH-4_S4_R1_001.fastq.gz	Moffat_4_HH-4_S4_R2_001.fastq.gz	c1e6f4904bf190622b03d482e17afe7e	082d9d32f936adf99c94e32091753f85	Moffat_4_HH-4_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	HH-6	Hap1 Lb T6 A	HAP1_Lb_T6A	Moffat_5_HH-6_S5_R1_001.fastq.gz	Moffat_5_HH-6_S5_R2_001.fastq.gz	0f7a6be7fe3cc6c5f136c37c395addcf	df8c92a6cbe98d9b3e59d29a15591f47	Moffat_5_HH-6_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	HH-7	Hap1 Lb T6 B	HAP1_Lb_T6B	Moffat_6_HH-7_S6_R1_001.fastq.gz	Moffat_6_HH-7_S6_R2_001.fastq.gz	5da27c6282bd673a2e2cfe8475da4b60	8efa88920169c25271f6243cd577236a	Moffat_6_HH-7_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	HH-8	Hap1 Lb T6 C	HAP1_Lb_T6C	Moffat_7_HH-8_S7_R1_001.fastq.gz	Moffat_7_HH-8_S7_R2_001.fastq.gz	e122d50a2ec1459ace37f0d0d07c8a2f	fb9e55f91b198a593dd27f7483ea4e0f	Moffat_7_HH-8_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	HH-9	Hap1 Lb T18 A	HAP1_Lb_T18A	Moffat_8_HH-9_S8_R1_001.fastq.gz	Moffat_8_HH-9_S8_R2_001.fastq.gz	52ca855c06adba018378af771163c9e5	a7d5512f0dfcdc9f77dbbf320383e4d8	Moffat_8_HH-9_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	HH-10	Hap1 Lb T18 B	HAP1_Lb_T18B	Moffat_9_HH-10_S9_R1_001.fastq.gz	Moffat_9_HH-10_S9_R2_001.fastq.gz	671ef90492cc5c5e6846c0a11a66ae1d	d10c1d42c9f7fd410301eecfcb7b61b1	Moffat_9_HH-10_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	HH-11	Hap1 Lb T18 C	HAP1_Lb_T18C	Moffat_10_HH-11_S10_R1_001.fastq.gz	Moffat_10_HH-11_S10_R2_001.fastq.gz	ed503e9c5c822722ef586f34330cbf27	48c22a63fcf9ad58edf7f3f36d5fd6dc	Moffat_10_HH-11_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	HH-12	Hap1 As T6 A	HAP1_As_T6A	Moffat_11_HH-12_S11_R1_001.fastq.gz	Moffat_11_HH-12_S11_R2_001.fastq.gz	ace4e506f8ed63e6f5e34d97d4a51cc8	1e5c281c71a0c0781895acff76f378ef	Moffat_11_HH-12_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	HH-13	Hap1 As T6 B	HAP1_As_T6B	Moffat_12_HH-13_S12_R1_001.fastq.gz	Moffat_12_HH-13_S12_R2_001.fastq.gz	12f017f1d7525b8db282935d726092ba	868bd0fe2f2368370dcbbe2d0d8b1b68	Moffat_12_HH-13_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	HH-14	Hap1 As T6 C	HAP1_As_T6C	Moffat_13_HH-14_S13_R1_001.fastq.gz	Moffat_13_HH-14_S13_R2_001.fastq.gz	768eaaaac90e0b117d2b60dbb907dd76	1301b6f3b8dee64b3b4fad9260c19e14	Moffat_13_HH-14_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	HH-15	Hap1 As T18 A	HAP1_As_T18A	Moffat_14_HH-15_S14_R1_001.fastq.gz	Moffat_14_HH-15_S14_R2_001.fastq.gz	fd055c69e6f04656282672c67fb8d8d5	02989a3c77e89c9500808d6cac5403a5	Moffat_14_HH-15_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	HH-16	Hap1 As T18 B	HAP1_As_T18B	Moffat_15_HH-16_S15_R1_001.fastq.gz	Moffat_15_HH-16_S15_R2_001.fastq.gz	85029bc04707fd2b148a1350e0df0b8f	21d2d12ac8727bcf2395f52c745e256b	Moffat_15_HH-16_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	HH-17	Hap1 As T18 C	HAP1_As_T18C	Moffat_16_HH-17_S16_R1_001.fastq.gz	Moffat_16_HH-17_S16_R2_001.fastq.gz	84a0a976ac3cf4aa9181fee4344e3d49	380cf22714f7cb731a54a3a454b14eba	Moffat_16_HH-17_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	HH-18	Hap1 Lb T12 A	HAP1_Lb_T12A	Moffat_17_HH-18_S17_R1_001.fastq.gz	Moffat_17_HH-18_S17_R2_001.fastq.gz	601b0fc0b3fc5f8caa462a314a8adbde	b80e19bed08e77ead217c796d54b61db	Moffat_17_HH-18_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	HH-19	Hap1 Lb T12 B	HAP1_Lb_T12B	Moffat_18_HH-19_S18_R1_001.fastq.gz	Moffat_18_HH-19_S18_R2_001.fastq.gz	62196124c0cb41fc5ae15efd85b728c6	93466f42209ec785c8b108b252175d0c	Moffat_18_HH-19_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	HH-20	Hap1 Lb T12 C	HAP1_Lb_T12C	Moffat_19_HH-20_S19_R1_001.fastq.gz	Moffat_19_HH-20_S19_R2_001.fastq.gz	1afe349359ef7dadeea30ae1567b0b94	74911b445aacc42caa3c048497ccbf17	Moffat_19_HH-20_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	HH-21	Hap1 As T12 A	HAP1_As_T12A	Moffat_20_HH-21_S20_R1_001.fastq.gz	Moffat_20_HH-21_S20_R2_001.fastq.gz	a3494382503b12aa223192e67f36aa3e	aa41792f373e9786f70b4d13a5bc944c	Moffat_20_HH-21_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	HH-22	Hap1 As T12 B	HAP1_As_T12B	Moffat_21_HH-22_S21_R1_001.fastq.gz	Moffat_21_HH-22_S21_R2_001.fastq.gz	b563119a4c1c4ec696f9ef0312e37508	08a0d559eebf2781c4b203a265680764	Moffat_21_HH-22_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	HH-23	Hap1 As T12 C	HAP1_As_T12C	Moffat_22_HH-23_S22_R1_001.fastq.gz	Moffat_22_HH-23_S22_R2_001.fastq.gz	bc0827dee5273b090d56448db5e8b9df	261875d52d0be65fa7864db0adab3d69	Moffat_22_HH-23_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	MH-1	N2A Lb T0	N2A_Lb_T0	Moffat_23_MH-1_S23_R1_001.fastq.gz	Moffat_23_MH-1_S23_R2_001.fastq.gz	1d94d17912850248614b00524616c00f	d6bea7b61c66c9168b5dd5a72cbb0b2a	Moffat_23_MH-1_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	MH-2	N2A As T0	N2A_As_T0	Moffat_24_MH-2_S24_R1_001.fastq.gz	Moffat_24_MH-2_S24_R2_001.fastq.gz	0bd9f20f4677c951f416590a4e8fe97d	b4651b09fa731878e0b393bddc7a8411	Moffat_24_MH-2_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	MH-3	CGR8 Lb T0	CGR8_Lb_T0	Moffat_25_MH-3_S25_R1_001.fastq.gz	Moffat_25_MH-3_S25_R2_001.fastq.gz	5726cf0314fb7c3d2e4f9d5d4e284c09	931fd5f8c73cddfa452981fa4e546aea	Moffat_25_MH-3_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	MH-26	CGR8 Lb 18 A	CGR8_Lb_T18A	Moffat_26_MH-26_S26_R1_001.fastq.gz	Moffat_26_MH-26_S26_R2_001.fastq.gz	8e0dae80a3f64562218c661e34464edf	bf38c8c5e1905271f8015071c09ff02a	Moffat_26_MH-26_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	MH-27	CGR8 Lb 18 B	CGR8_Lb_T18B	Moffat_27_MH-27_S27_R1_001.fastq.gz	Moffat_27_MH-27_S27_R2_001.fastq.gz	a09f4dfdd2037d51f61c25a16622ea0b	85d0a6e801c52537a62f6acf814cd891	Moffat_27_MH-27_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	MH-36	N2A As 18 B	N2A_As_T18B	Moffat_28_MH-36_S28_R1_001.fastq.gz	Moffat_28_MH-36_S28_R2_001.fastq.gz	10fff665b0c5f6d025799b8b4d11db4e	7a6ae28675d6f922856c94281487c98e	Moffat_28_MH-36_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	MH-56	N2A As 18 A	N2A_As_T18A	Moffat_29_MH-56_S29_R1_001.fastq.gz	Moffat_29_MH-56_S29_R2_001.fastq.gz	b25dce6ed61e8c85dab93ff0b36abe99	70e0bc12351ccd824a6427588cf81da2	Moffat_29_MH-56_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	MH-11	CGR8 T6_As_A	CGR8_As_T6A	Moffat_30_MH-11_S30_R1_001.fastq.gz	Moffat_30_MH-11_S30_R2_001.fastq.gz	4e43d8aeff3c732e7ccdd9a3d77d5c13	6c50af6ef45eec1d19a9b317b74d43fb	Moffat_30_MH-11_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	MH-12	CGR8 T6_As_B	CGR8_As_T6B	Moffat_31_MH-12_S31_R1_001.fastq.gz	Moffat_31_MH-12_S31_R2_001.fastq.gz	d63db382856d47607349b48a32c6654f	1f26c271f6566bebe168961e2f014b95	Moffat_31_MH-12_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	MH-13	CGR8 T6_As_C	CGR8_As_T6C	Moffat_32_MH-13_S32_R1_001.fastq.gz	Moffat_32_MH-13_S32_R2_001.fastq.gz	c25e855485822ec5e842da55e0612e31	0323632baff67b1e7a2a0ffbd675f8a2	Moffat_32_MH-13_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	HH-42	Human Library 1	Human_Ligation1	Moffat_33_HH-42_S33_R1_001.fastq.gz	Moffat_33_HH-42_S33_R2_001.fastq.gz	072882db85edfc57470aaf2c82b858cb	2f2d724ab2563eb27036f989f68ca2d5	Moffat_33_HH-42_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanParalogScreen_NovaSeq_20181109	HH-79	HAP1 Paralogue/Dual T0		Moffat_HH-79_S1_R1_001.fastq.gz	Moffat_HH-79_S1_R2_001.fastq.gz	86086da3a6812f925cb310584ed98998	90feaecdf3bcc0a4331c9cf0e00f66de	HH-79_counts.txt	31bp	28bp	Illumina NovaSeq5000
HumanParalogScreen_NovaSeq_20181109	HH-91	HAP1 Paralogue/Dual T12A		Moffat_HH-91_S10_R1_001.fastq.gz	Moffat_HH-91_S10_R2_001.fastq.gz	cbe3f16fa3ba23a74eff3c703045256c	307d95da45f9a21e658aa2a42c44c79d	HH-91_counts.txt	31bp	28bp	Illumina NovaSeq5000
HumanParalogScreen_NovaSeq_20181109	HH-92	HAP1 Paralogue/Dual T12B		Moffat_HH-92_S11_R1_001.fastq.gz	Moffat_HH-92_S11_R2_001.fastq.gz	597b83b33929614e7e8df1f94ce08d5c	6618c5f684a2ef7f6525c036a1db6668	HH-92_counts.txt	31bp	28bp	Illumina NovaSeq5000
HumanParalogScreen_NovaSeq_20181109	HH-93	HAP1 Paralogue/Dual T12C		Moffat_HH-93_S12_R1_001.fastq.gz	Moffat_HH-93_S12_R2_001.fastq.gz	61c0e98e2cdd4f3f7ff03b62b21a192c	f0fb4468d1877b503d768c29d4a76729	HH-93_counts.txt	31bp	28bp	Illumina NovaSeq5000
HumanParalogScreen_NovaSeq_20181109	HH-80	HAP1 Paralogue/Dual T18A		Moffat_HH-80_S2_R1_001.fastq.gz	Moffat_HH-80_S2_R2_001.fastq.gz	8361ecc9327f3e433495496dc48c5205	3a9f8791a79e041e264698517c4450cf	HH-80_counts.txt	31bp	28bp	Illumina NovaSeq5000
HumanParalogScreen_NovaSeq_20181109	HH-81	HAP1 Paralogue/Dual T18B		Moffat_HH-81_S3_R1_001.fastq.gz	Moffat_HH-81_S3_R2_001.fastq.gz	96c53d3db54583397376705003702a24	cb493111b507ab9b23e497e4edcea4fa	HH-81_counts.txt	31bp	28bp	Illumina NovaSeq5000
